cell_type,tissue
pharynx_epithelial,pharynx
ACh_motoneuron,neuron
ADL,neuron
AFD,neuron
AIA,neuron
AIB,neuron
AIM_RIP,neuron
AIN,neuron
ALA,neuron
ASEL,neuron
ASER,neuron
ASG,neuron
ASH,neuron
ASJ,neuron
ASK,neuron
AVA,neuron
AVB,neuron
AVD,neuron
AVE,neuron
AVH,neuron
AVJ,neuron
AVK,neuron
AVL,neuron
AWA,neuron
AWC,neuron
BAG,neuron
CEP,neuron
germline,reproductive
gonadal_sheath,reproductive
HSN,neuron
hypodermis,skin
IL1,neuron
IL2_LR,neuron
mechanosensory,neuron
OLQ,neuron
pharyngeal,neuron
PVD,neuron
PVQ,neuron
RIA,neuron
RIC,neuron
RID,neuron
RIH,neuron
RIM,neuron
RIR,neuron
RIS,neuron
RIV,neuron
RMD_LR,neuron
RMF,neuron
RMG,neuron
RMH,neuron
SAA,neuron
seam,skin
SIA,neuron
SIB,neuron
SMB,neuron
SMD,neuron
sperm,reproductive
URX,neuron
URY,neuron
uterine,reproductive
VD_DD,neuron
ALN_PLN_SMB,neuron
AM_PHso,glia
AMsh,glia
CAN,neuron
DVB,neuron
ILso,glia
PDA,neuron
PHC,neuron
PHsh,glia
ADE_PDEso,glia
CEPsh,glia
glia,glia
head_hyp,skin
OLso,glia
PDEso,glia
sheath,glia
socket_s7,glia
socket_s9,glia
tail_hyp,skin
BWM,muscle
coelomyocyte,other
intestine,other
pharyngeal_muscle,pharynx
reproductive,reproductive
smooth_muscle,muscle
XXX,other
excretory,other
pharyngeal_gland,pharynx
rectal_gland,other
