# downloaded from https://www.ebi.ac.uk/interpro/result/download/#/protein/UniProt/entry/InterPro/IPR008160/taxonomy/uniprot/6239/|tsv and gene names obtained from https://wormbase.org/tools/mine/simplemine.cgi								
Accession	Source Database	Name	Tax ID	Tax Name	Length	WormBase Gene ID	Public Name	Species
A0A0F6YQF6	unreviewed	COL-99 isoform f	6239	Caenorhabditis elegans	668	WBGene00000674	col-99	Caenorhabditis elegans
A0A131MAZ6	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	699	WBGene00000674	col-99	Caenorhabditis elegans
A0A131MB32	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	711	WBGene00000674	col-99	Caenorhabditis elegans
A0A131MBJ3	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	720	WBGene00000674	col-99	Caenorhabditis elegans
A0A131MBJ4	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	671	WBGene00000674	col-99	Caenorhabditis elegans
A0A131MBK4	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	684	WBGene00000674	col-99	Caenorhabditis elegans
A0A131MBL6	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	723	WBGene00000674	col-99	Caenorhabditis elegans
A0A131MBQ9	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	680	WBGene00000674	col-99	Caenorhabditis elegans
A0A131MCG3	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	708	WBGene00000674	col-99	Caenorhabditis elegans
A0A131MCS7	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	656	WBGene00000674	col-99	Caenorhabditis elegans
A0A131MCY1	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	735	WBGene00000674	col-99	Caenorhabditis elegans
A0A131MD72	unreviewed	Cuticle collagen 99	6239	Caenorhabditis elegans	696	WBGene00000674	col-99	Caenorhabditis elegans
A3QM98	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	281	WBGene00000711	col-138	Caenorhabditis elegans
A5JYR8	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	297	WBGene00000692	col-118	Caenorhabditis elegans
A5JYR9	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	273	WBGene00000692	col-118	Caenorhabditis elegans
B2MZB1	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	326	WBGene00000603	col-14	Caenorhabditis elegans
D6VP96	unreviewed	Collagen triple helix repeat protein	6239	Caenorhabditis elegans	168	WBGene00000648	col-72	Caenorhabditis elegans
E5QCF2	unreviewed	Col_cuticle_N domain-containing protein	6239	Caenorhabditis elegans	278	WBGene00000630	col-53	Caenorhabditis elegans
G3MU58	unreviewed	COLlagen	6239	Caenorhabditis elegans	564	WBGene00000708	col-135	Caenorhabditis elegans
G5EBT7	unreviewed	Olfactomedin-like domain-containing protein	6239	Caenorhabditis elegans	486	WBGene00000583	cof-2	Caenorhabditis elegans
G5ECU6	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	330	WBGene00000614	col-37	Caenorhabditis elegans
G5ED38	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	303	WBGene00000620	col-43	Caenorhabditis elegans
G5EDG6	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	299	WBGene00000594	col-3	Caenorhabditis elegans
G5EDG6	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	299	WBGene00000691	col-117	Caenorhabditis elegans
G5EDV5	unreviewed	CLE-1B protein	6239	Caenorhabditis elegans	778	WBGene00000527	cle-1	Caenorhabditis elegans
G5EEB6	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	322	WBGene00001075	dpy-14	Caenorhabditis elegans
G5EF89	unreviewed	Fibronectin type-III domain-containing protein	6239	Caenorhabditis elegans	1138	WBGene00000527	cle-1	Caenorhabditis elegans
G5EFQ9	unreviewed	MEC-5	6239	Caenorhabditis elegans	327	WBGene00003169	mec-5	Caenorhabditis elegans
G5EGA4	unreviewed	Fibronectin type-III domain-containing protein	6239	Caenorhabditis elegans	1175	WBGene00000527	cle-1	Caenorhabditis elegans
G5EGP1	unreviewed	Olfactomedin-like domain-containing protein	6239	Caenorhabditis elegans	568	WBGene00006845	unc-122	Caenorhabditis elegans
H2L0P1	unreviewed	Col_cuticle_N domain-containing protein	6239	Caenorhabditis elegans	288	WBGene00000648	col-72	Caenorhabditis elegans
H2L2C4	unreviewed	Collagen triple helix repeat protein	6239	Caenorhabditis elegans	235	WBGene00005018	sqt-3	Caenorhabditis elegans
I2HA94	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	286	WBGene00000757	col-184	Caenorhabditis elegans
M1ZJS7	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	344	WBGene00000687	col-113	Caenorhabditis elegans
O01799	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	327	WBGene00000622	col-45	Caenorhabditis elegans
O01873	unreviewed	Collagen triple helix repeat protein	6239	Caenorhabditis elegans	260	WBGene00000629	col-52	Caenorhabditis elegans
O01904	unreviewed	Nematode cuticle collagen N-terminal domain-containing protein	6239	Caenorhabditis elegans	311	WBGene00000252	bli-2	Caenorhabditis elegans
