Your Input	WormBase Gene ID	UniProt	Reference UniProt ID
WBGene00000001	WBGene00000001	G5EDP9	G5EDP9
WBGene00000002	WBGene00000002	Q19834	Q19834
WBGene00000003	WBGene00000003	Q19151	Q19151
WBGene00000004	WBGene00000004	O17395, A0A0K3AVL7	A0A0K3AVL7
WBGene00000005	WBGene00000005	Q7YXH5	Q7YXH5
WBGene00000006	WBGene00000006	H2KZG9	H2KZG9
WBGene00000007	WBGene00000007	Q22397	Q22397
WBGene00000008	WBGene00000008	O44832	O44832
WBGene00000009	WBGene00000009	Q94197	Q94197
WBGene00000010	WBGene00000010	Q56VY0, Q9NA91	Q9NA91
WBGene00000011	WBGene00000011	N.A.	N.A.
WBGene00000012	WBGene00000012	G5EGC4	G5EGC4
WBGene00000013	WBGene00000013	G5EC68	G5EC68
WBGene00000014	WBGene00000014	O45563	O45563
WBGene00000015	WBGene00000015	Q9XX40	Q9XX40
WBGene00000016	WBGene00000016	G5EFQ2	G5EFQ2
WBGene00000017	WBGene00000017	G5EBS3	G5EBS3
WBGene00000018	WBGene00000018	P03949, A0A8S4QC30, A0A8S4QGR5, A0A5E4LZH0, A0A5E4LZL8, A0A8S4QCL3	P03949
WBGene00000019	WBGene00000019	S6EZS3, S6FN28	S6EZS3
WBGene00000020	WBGene00000020	Q1RS86, X5LXB2	Q1RS86
WBGene00000021	WBGene00000021	N.A.	N.A.
WBGene00000022	WBGene00000022	Q9TXV8	Q9TXV8
WBGene00000023	WBGene00000023	Q9XW49	Q9XW49
WBGene00000024	WBGene00000024	Q17400	Q17400
WBGene00000025	WBGene00000025	Q19594	Q19594
WBGene00000026	WBGene00000026	N.A.	N.A.
WBGene00000027	WBGene00000027	Q86S74	Q86S74
WBGene00000028	WBGene00000028	Q9NF70	Q9NF70
WBGene00000029	WBGene00000029	O16501	O16501
WBGene00000030	WBGene00000030	O16502	O16502
WBGene00000031	WBGene00000031	O16511	O16511
WBGene00000032	WBGene00000032	G5EGB7	G5EGB7
WBGene00000033	WBGene00000033	Q20002	Q20002
WBGene00000034	WBGene00000034	P91419	P91419
WBGene00000035	WBGene00000035	P38433	P38433
WBGene00000036	WBGene00000036	G5EDV9	G5EDV9
WBGene00000037	WBGene00000037	Q9U295	Q9U295
WBGene00000038	WBGene00000038	G5EDN1	G5EDN1
WBGene00000039	WBGene00000039	Q18581	Q18581
WBGene00000040	WBGene00000040	Q23500	Q23500
WBGene00000041	WBGene00000041	P34455	P34455
WBGene00000042	WBGene00000042	P48182	P48182
WBGene00000043	WBGene00000043	Q93149	Q93149
WBGene00000044	WBGene00000044	P54246	P54246
WBGene00000045	WBGene00000045	Q9N4M3	Q9N4M3
WBGene00000046	WBGene00000046	P45963	P45963
WBGene00000047	WBGene00000047	Q23355	Q23355
WBGene00000048	WBGene00000048	Q18556	Q18556
WBGene00000049	WBGene00000049	Q21645	Q21645
WBGene00000050	WBGene00000050	P91197	P91197
WBGene00000051	WBGene00000051	A0A0K3ATC5, G5EDF1	G5EDF1
WBGene00000053	WBGene00000053	Q22224	Q22224
WBGene00000054	WBGene00000054	O16926	O16926
WBGene00000055	WBGene00000055	P48180	P48180
WBGene00000056	WBGene00000056	A0A0M7RDU0, A0A0M7RFG1, A0A0M7REC3, Q6F6K3	Q6F6K3
WBGene00000057	WBGene00000057	G5EG72	G5EG72
WBGene00000058	WBGene00000058	B3WFZ2, G5EGB5	B3WFZ2
WBGene00000059	WBGene00000059	B1Q281, Q7JKI4, Q9U398	B1Q281
WBGene00000060	WBGene00000060	A0A3P6N6F5, A0A3P6NP92, A0A3P6P985, A0A3P6MY71	A0A3P6P985
WBGene00000061	WBGene00000061	G5EGR1	G5EGR1
WBGene00000062	WBGene00000062	G5EG88, A0A168H5T6	G5EG88
WBGene00000063	WBGene00000063	P0DM41	P0DM41
WBGene00000064	WBGene00000064	P10984	P10984
WBGene00000065	WBGene00000065	P0DM42	P0DM42
WBGene00000066	WBGene00000066	P10986, Q95ZL1	P10986
WBGene00000067	WBGene00000067	O45815	O45815
WBGene00000068	WBGene00000068	Q19523	Q19523
WBGene00000069	WBGene00000069	O16880	O16880
WBGene00000070	WBGene00000070	G5EE33	G5EE33
WBGene00000071	WBGene00000071	Q966F9	Q966F9
WBGene00000072	WBGene00000072	Q9U9K0, G8JYB0	Q9U9K0
WBGene00000073	WBGene00000073	Q20952, Q1ZXU2	Q20952
WBGene00000074	WBGene00000074	G5EDW5	G5EDW5
WBGene00000075	WBGene00000075	Q94316	Q94316
WBGene00000076	WBGene00000076	N.A.	N.A.
WBGene00000077	WBGene00000077	N.A.	N.A.
WBGene00000078	WBGene00000078	N.A.	N.A.
WBGene00000079	WBGene00000079	Q9U3D6	Q9U3D6
WBGene00000080	WBGene00000080	Q22618	Q22618
WBGene00000081	WBGene00000081	O45218	O45218
WBGene00000082	WBGene00000082	G5ECS8, Q22580	G5ECS8
WBGene00000083	WBGene00000083	Q19204, Q7Z291, Q7Z292	Q19204
WBGene00000084	WBGene00000084	G5EEU3, G5ECE1	G5EEU3
WBGene00000085	WBGene00000085	G5ECD9	G5ECD9
WBGene00000086	WBGene00000086	O02626	O02626
WBGene00000088	WBGene00000088	P91863	P91863
WBGene00000089	WBGene00000089	G5EBS5	G5EBS5
WBGene00000090	WBGene00000090	Q94125	Q94125
WBGene00000091	WBGene00000091	N.A.	N.A.
WBGene00000092	WBGene00000092	A0A131MD77, A0A131MBA1, A0A131MBC1, A0A131MBW5, Q19955	Q19955
WBGene00000093	WBGene00000093	Q9U1Y0, Q2HQK2	Q9U1Y0
WBGene00000094	WBGene00000094	Q19263	Q19263
WBGene00000095	WBGene00000095	O02219	O02219
WBGene00000096	WBGene00000096	O44712	O44712
WBGene00000097	WBGene00000097	Q9XUW8	Q9XUW8
WBGene00000098	WBGene00000098	G5EDL3	G5EDL3
WBGene00000099	WBGene00000099	O01427	O01427
WBGene00000100	WBGene00000100	A0A1C3NSL9, H2KYC5, Q95ZY7	A0A1C3NSL9
WBGene00000101	WBGene00000101	Q8MQ92, H2KZI9, Q18930	H2KZI9
WBGene00000102	WBGene00000102	Q17941	Q17941
WBGene00000103	WBGene00000103	Q9XTG7	Q9XTG7
WBGene00000104	WBGene00000104	N.A.	N.A.
WBGene00000105	WBGene00000105	G5EES3, G5EGR6	G5EES3
WBGene00000106	WBGene00000106	O16720, Q86B39	O16720
WBGene00000107	WBGene00000107	Q8IG19, Q20780	Q20780
WBGene00000108	WBGene00000108	Q9TXM0	Q9TXM0
WBGene00000109	WBGene00000109	G5ECV9	G5ECV9
WBGene00000110	WBGene00000110	A0A486WWU7, Q8MXJ7, Q86S57, O16518	A0A486WWU7
WBGene00000111	WBGene00000111	O44555	O44555
WBGene00000112	WBGene00000112	Q86N72, G5EC31, G4RZC3, Q6A593	G5EC31
WBGene00000113	WBGene00000113	G3MU66, O02266	O02266
WBGene00000114	WBGene00000114	P52713, Q7JMI1	P52713
WBGene00000115	WBGene00000115	P46562	P46562
WBGene00000116	WBGene00000116	Q18822	Q18822
WBGene00000117	WBGene00000117	Q20352, Q8MNS6	Q20352
WBGene00000118	WBGene00000118	Q7Z1Q2, Q7Z1Q3	Q7Z1Q3
WBGene00000119	WBGene00000119	N.A.	N.A.
WBGene00000120	WBGene00000120	Q17561	Q17561
WBGene00000121	WBGene00000121	O62183	O62183
WBGene00000122	WBGene00000122	Q21559	Q21559
WBGene00000123	WBGene00000123	P16356	P16356
WBGene00000124	WBGene00000124	N.A.	N.A.
WBGene00000125	WBGene00000125	N.A.	N.A.
WBGene00000126	WBGene00000126	N.A.	N.A.
WBGene00000127	WBGene00000127	N.A.	N.A.
WBGene00000128	WBGene00000128	N.A.	N.A.
WBGene00000129	WBGene00000129	N.A.	N.A.
WBGene00000130	WBGene00000130	N.A.	N.A.
WBGene00000131	WBGene00000131	N.A.	N.A.
WBGene00000132	WBGene00000132	N.A.	N.A.
WBGene00000133	WBGene00000133	P54145	P54145
WBGene00000134	WBGene00000134	Q20605	Q20605
WBGene00000135	WBGene00000135	Q21565	Q21565
WBGene00000136	WBGene00000136	Q17663	Q17663
WBGene00000137	WBGene00000137	Q21988	Q21988
WBGene00000138	WBGene00000138	Q9XXU5	Q9XXU5
WBGene00000139	WBGene00000139	E0AHD4, E0AHD3	E0AHD3
WBGene00000140	WBGene00000140	Q9N4M4, A0A2C9C3A7, A0A2C9C2Z1	Q9N4M4
WBGene00000141	WBGene00000141	N.A.	N.A.
WBGene00000142	WBGene00000142	Q17820	Q17820
WBGene00000143	WBGene00000143	P34514	P34514
WBGene00000144	WBGene00000144	H2L2B8	H2L2B8
WBGene00000145	WBGene00000145	Q20052	Q20052
WBGene00000146	WBGene00000146	Q9XVN3	Q9XVN3
WBGene00000147	WBGene00000147	O45876	O45876
WBGene00000148	WBGene00000148	Q23316, A5Z2T7	Q23316
WBGene00000149	WBGene00000149	Q10651	Q10651
WBGene00000150	WBGene00000150	O01755	O01755
WBGene00000151	WBGene00000151	Q10002	Q10002
WBGene00000152	WBGene00000152	N.A.	N.A.
WBGene00000153	WBGene00000153	N.A.	N.A.
WBGene00000154	WBGene00000154	N.A.	N.A.
WBGene00000155	WBGene00000155	O44750	O44750
WBGene00000156	WBGene00000156	Q21227, A0A1I6CM53	Q21227
WBGene00000157	WBGene00000157	Q19123	Q19123
WBGene00000158	WBGene00000158	Q8WQB3	Q8WQB3
WBGene00000159	WBGene00000159	O16369	O16369
WBGene00000160	WBGene00000160	Q9N4F3	Q9N4F3
WBGene00000161	WBGene00000161	Q22601	Q22601
WBGene00000162	WBGene00000162	O16637, Q95X88	O16637
WBGene00000163	WBGene00000163	O62348, O45718	O45718
WBGene00000164	WBGene00000164	Q20736	Q20736
WBGene00000165	WBGene00000165	Q8T874	Q8T874
WBGene00000166	WBGene00000166	Q23165	Q23165
WBGene00000168	WBGene00000168	P41990, A0A486WTV8, A0A0S4XRY4	P41990
WBGene00000169	WBGene00000169	Q19949, Q8IG23	Q19949
WBGene00000170	WBGene00000170	Q17571, Q7JMQ6	Q17571
WBGene00000171	WBGene00000171	A0A131MBS2, A0A061ADS9, Q9XW36	Q9XW36
WBGene00000172	WBGene00000172	G5EEK0	G5EEK0
WBGene00000173	WBGene00000173	Q18469	Q18469
WBGene00000174	WBGene00000174	H2FLH4, Q18352, D5MCS1	H2FLH4
WBGene00000175	WBGene00000175	A0A6V7QYI0, Q21473	A0A6V7QYI0
WBGene00000176	WBGene00000176	Q7Z138, A0A2K5AU16, A0A2K5AU20, Q7Z137	Q7Z138
WBGene00000177	WBGene00000177	E5QCH4, Q7JL16	Q7JL16
WBGene00000178	WBGene00000178	Q09369	Q09369
WBGene00000179	WBGene00000179	O46024	O46024
WBGene00000180	WBGene00000180	Q09654	Q09654
WBGene00000181	WBGene00000181	Q19102, A0A061AD09	Q19102
WBGene00000182	WBGene00000182	Q10943	Q10943
WBGene00000183	WBGene00000183	G5EFK4	G5EFK4
WBGene00000184	WBGene00000184	Q9U2S4	Q9U2S4
WBGene00000185	WBGene00000185	H2KYS0	H2KYS0
WBGene00000186	WBGene00000186	G5EBZ8	G5EBZ8
WBGene00000187	WBGene00000187	Q20758	Q20758
WBGene00000188	WBGene00000188	O45379	O45379
WBGene00000189	WBGene00000189	P34212	P34212
WBGene00000190	WBGene00000190	Q94231	Q94231
WBGene00000191	WBGene00000191	N.A.	N.A.
WBGene00000192	WBGene00000192	G5EDC6	G5EDC6
WBGene00000193	WBGene00000193	Q18510	Q18510
WBGene00000195	WBGene00000195	P51485	P51485
WBGene00000196	WBGene00000196	Q23122	Q23122
WBGene00000197	WBGene00000197	O01541	O01541
WBGene00000198	WBGene00000198	Q9N5Y2	Q9N5Y2
WBGene00000199	WBGene00000199	Q9N4I0	Q9N4I0
WBGene00000200	WBGene00000200	P53489	P53489
WBGene00000201	WBGene00000201	Q9U1R7, A0A3P6PCS5	A0A3P6PCS5
WBGene00000202	WBGene00000202	Q9N4P9	Q9N4P9
WBGene00000203	WBGene00000203	Q9XWV3	Q9XWV3
WBGene00000204	WBGene00000204	P58798	P58798
WBGene00000205	WBGene00000205	O61861	O61861
WBGene00000206	WBGene00000206	Q20053	Q20053
WBGene00000207	WBGene00000207	Q19126	Q19126
WBGene00000208	WBGene00000208	G5EDK1	G5EDK1
WBGene00000209	WBGene00000209	P90921	P90921
WBGene00000210	WBGene00000210	Q18803	Q18803
WBGene00000211	WBGene00000211	Q10916	Q10916
WBGene00000212	WBGene00000212	Q23498	Q23498
WBGene00000213	WBGene00000213	Q9UAY4, G8JY85	Q9UAY4
WBGene00000214	WBGene00000214	G5EEI4	G5EEI4
WBGene00000215	WBGene00000215	Q86NE0	Q86NE0
WBGene00000216	WBGene00000216	P55956	P55956
WBGene00000217	WBGene00000217	Q21966	Q21966
WBGene00000218	WBGene00000218	O01532	O01532
WBGene00000219	WBGene00000219	O01530	O01530
WBGene00000220	WBGene00000220	Q21361	Q21361
WBGene00000221	WBGene00000221	Q22156	Q22156
WBGene00000222	WBGene00000222	Q20435	Q20435
WBGene00000223	WBGene00000223	Q86MD3	Q86MD3
WBGene00000224	WBGene00000224	Q9XVU3, A5Z2U2	Q9XVU3
WBGene00000225	WBGene00000225	O45298, G1K108, G1K110	O45298
WBGene00000226	WBGene00000226	Q22258, E5QCG9	Q22258
WBGene00000227	WBGene00000227	Q9N3Q4	Q9N3Q4
WBGene00000228	WBGene00000228	H2L2C9, H2L2C8, Q9XVU8, Q23158	Q23158
WBGene00000229	WBGene00000229	P46561	P46561
WBGene00000230	WBGene00000230	P91283, Q7JNG1	Q7JNG1
WBGene00000231	WBGene00000231	G5ED29, D4PH96	G5ED29
WBGene00000232	WBGene00000232	Q95Q97, Q95Q96, Q8IFY7	Q95Q97
WBGene00000233	WBGene00000233	Q95PJ6, D7SFP2, G5ECH3	G5ECH3
WBGene00000234	WBGene00000234	N.A.	N.A.
WBGene00000235	WBGene00000235	Q03565	Q03565
WBGene00000236	WBGene00000236	O44739	O44739
WBGene00000237	WBGene00000237	G5ECL4	G5ECL4
WBGene00000238	WBGene00000238	Q18825	Q18825
WBGene00000239	WBGene00000239	H2KYG4, O45137	O45137
WBGene00000240	WBGene00000240	P90925	P90925
WBGene00000241	WBGene00000241	Q9NEZ7	Q9NEZ7
WBGene00000242	WBGene00000242	Q19640	Q19640
WBGene00000244	WBGene00000244	Q23049	Q23049
WBGene00000245	WBGene00000245	Q22460	Q22460
WBGene00000246	WBGene00000246	Q21593	Q21593
WBGene00000247	WBGene00000247	Q22592	Q22592
WBGene00000248	WBGene00000248	Q18817	Q18817
WBGene00000249	WBGene00000249	G5EFA2	G5EFA2
WBGene00000250	WBGene00000250	G5ECJ5	G5ECJ5
WBGene00000251	WBGene00000251	Q09457	Q09457
WBGene00000252	WBGene00000252	O01904	O01904
