# downloaded from https://www.ebi.ac.uk/interpro/result/download/#/protein/UniProt/entry/InterPro/IPR001507/taxonomy/uniprot/6239/|tsv ; gene name conversion with Simplemine https://wormbase.org/tools/mine/simplemine.cgi								
Accession	Source Database	Name	Tax ID	Tax Name	Length	WormBase Gene ID	Public Name	Species
A0A0K3AUQ6	unreviewed	ZP domain-containing protein	6239	Caenorhabditis elegans	189	WBGene00044641	T01D1.8	Caenorhabditis elegans
A0A131MB05	unreviewed	ZP domain-containing protein	6239	Caenorhabditis elegans	487	WBGene00011928	cutl-12	Caenorhabditis elegans
A0A131MBI8	unreviewed	ZP domain-containing protein	6239	Caenorhabditis elegans	569	WBGene00011928	cutl-12	Caenorhabditis elegans
A0A164D3B2	unreviewed	von Willebrand factor type A domain protein	6239	Caenorhabditis elegans	773	WBGene00021343	cutl-23	Caenorhabditis elegans
A0A168H2V5	unreviewed	VWFA domain-containing protein	6239	Caenorhabditis elegans	681	WBGene00021343	cutl-23	Caenorhabditis elegans
A3FPI7	unreviewed	ZP domain-containing protein	6239	Caenorhabditis elegans	160	WBGene00045269	F46G11.6	Caenorhabditis elegans
G4SNP7	unreviewed	VWFA domain-containing protein	6239	Caenorhabditis elegans	1427	WBGene00001063	dpy-1	Caenorhabditis elegans
G5EBR9	unreviewed	CUTiclin-Like	6239	Caenorhabditis elegans	801	WBGene00009830	cutl-18	Caenorhabditis elegans
G5EC82	unreviewed	ZP domain-containing protein	6239	Caenorhabditis elegans	711	WBGene00004301	ram-5	Caenorhabditis elegans
G5EDD6	unreviewed	ZP domain-containing protein	6239	Caenorhabditis elegans	625	WBGene00013960	cutl-8	Caenorhabditis elegans
G5EFQ3	unreviewed	ZP domain-containing protein	6239	Caenorhabditis elegans	469	WBGene00012304	cutl-4	Caenorhabditis elegans
H2KZ72	reviewed	Cuticlin-like protein 19	6239	Caenorhabditis elegans	237	WBGene00022533	cutl-19	Caenorhabditis elegans
H2KZ73	unreviewed	NOmpA Homolog (Drosophila nompA: no mechanoreceptor potential A)	6239	Caenorhabditis elegans	1048	WBGene00016422	noah-1	Caenorhabditis elegans
H2KZW9	unreviewed	ZP domain-containing protein	6239	Caenorhabditis elegans	599	WBGene00021396	cutl-24	Caenorhabditis elegans
H2L015	unreviewed	ZP domain-containing protein	6239	Caenorhabditis elegans	502	WBGene00021950	cutl-26	Caenorhabditis elegans
